value,transcription,alt_transcription,IPA,Comment
ü,Phonemic,NA,y,https://en.wikipedia.org/wiki/Basque_language#Phonology
k,Phonemic,NA,k,
ʰ,Phonemic,NA,ʰ,
r,Phonemic,NA,r,
a,Phonemic,NA,a,
h,Phonemic,NA,h,
ɛ̃,Phonemic,NA,ɛ̃,
t,Phonemic,NA,t,
c̷,Phonemic,NA,ts,
e,Phonemic,NA,e,
i,Phonemic,NA,i,
ɲ,Phonemic,NA,ɲ,
c̷̣,Phonemic,NA,ts,
b,Phonemic,NA,b,
ã,Phonemic,NA,ã,
s,Phonemic,NA,s,
l,Phonemic,NA,l,
g,Phonemic,NA,g,
n,Phonemic,NA,n,
ž,Phonemic,NA,ʒ,
u,Phonemic,NA,u,
d,Phonemic,NA,d,
o,Phonemic,NA,o,
p,Phonemic,NA,p,
ṣ,Phonemic,NA,s̺, The ad hoc non-IPA symbols ⟨ṣ⟩ and ⟨S⟩ are often used in the linguistic literature https://en.wikipedia.org/wiki/Voiceless_alveolar_fricative#Modern
š,Phonemic,NA,ʃ,
ũ,Phonemic,NA,ũ,
č,Phonemic,NA,tʃ,
m,Phonemic,NA,m,
ẓ,Phonemic,NA,s̻,https://en.wikipedia.org/wiki/Basque_language#Phonology
ü̃,Phonemic,NA,ỹ,
ʸ,Phonemic,NA,ʸ,
õ,Phonemic,NA,õ,
ĩ,Phonemic,NA,ĩ,
z,Phonemic,NA,z,only one occurrence loanword from spanish 
f,Phonemic,NA,f,
v,Phonemic,NA,v,
ə,Phonemic,NA,ə,
w,Phonemic,NA,w,
ɛ,Phonemic,NA,ɛ,
ẽ,Phonemic,NA,ẽ,
