ID,Name,latitude,longitude,family
61,Aghul,41.75,47.6666666667,Nakh-Daghestanian
33,Akhvakh (Northern dialect),42.3333333333,46.3333333333,Nakh-Daghestanian
34,Akhvakh (Southern dialect),42.3333333333,46.3333333333,Nakh-Daghestanian
32,Andi,42.75,46.25,Nakh-Daghestanian
62,Archi (variety 1),42,46.8333333333,Nakh-Daghestanian
107,Avar,42.5,46.5,Nakh-Daghestanian
71,Azerbaijani,40.5,48.5,Altaic
35,Bagvalal,42.5833333333,46.1666666667,Nakh-Daghestanian
63,Budukh,41.1666666667,48.4166666667,Nakh-Daghestanian
51,Chamalal,42.55,46.05,Nakh-Daghestanian
75,Chechen,43.25,45.8333333333,Nakh-Daghestanian
57,Dargwa,42.25,47.4166666667,Nakh-Daghestanian
126,Erzya Mordvin,53,45.5,Uralic
127,Estonian,59,26,Uralic
128,Finnish,62,25,Uralic
38,Godoberi,42.6666666667,46.0833333333,Nakh-Daghestanian
42,Hinuq,42.1666666667,46,Nakh-Daghestanian
131,Hungarian,47,20,Uralic
52,Hunzib,42.1666666667,46.25,Nakh-Daghestanian
39,Karata,42.5833333333,46.3333333333,Nakh-Daghestanian
135,Khanty,65,65,Uralic
69,Khinalug,41.1666666667,48.0833333333,Nakh-Daghestanian
54,Khwarshi (Inkhokvari dialect),42.25,46.1666666667,Nakh-Daghestanian
41,Khwarshi (Khwarshi dialect),42.25,46.1666666667,Nakh-Daghestanian
139,Komi,65,55,Uralic
72,Kumyk,43,47.3333333333,Altaic
56,Lak,42.1666666667,47.1666666667,Nakh-Daghestanian
143,Northern Saami,69,24,Uralic
64,Lezgian,41.6666666667,47.8333333333,Nakh-Daghestanian
146,Mansi,62,62,Uralic
147,Mari,57,48,Uralic
148,Nenets,70,76,Uralic
73,Nogai,44,46,Altaic
66,Rutul,41.5,47.4166666667,Nakh-Daghestanian
151,Selkup,65,82,Uralic
67,Tabasaran (Northern dialect Khanag subdialect),41.8333333333,47.9166666667,Nakh-Daghestanian
68,Tabasaran (Southern dialect),41.8333333333,47.9166666667,Nakh-Daghestanian
50,Tindi,42.3666666667,46.25,Nakh-Daghestanian
70,Tsakhur,41.6666666667,47.1666666667,Nakh-Daghestanian
55,Tsez (Sagada dialect),42.25,45.75,Nakh-Daghestanian
80,Udi,41,48,Nakh-Daghestanian
159,Udmurt,57.5,52.5,Uralic
160,Bezhta,42.0833333333,46.1666666667,Nakh-Daghestanian
162,Tsez (Mokok dialect),42.25,45.75,Nakh-Daghestanian
168,Modern Greek,39,22,Indo-European
172,Panare,6.5,-66,Cariban
170,Italian,43,12,Indo-European
171,French,48,2,Indo-European
173,Macushi,4,-60,Cariban
174,De'kwana,5.5,-65,Cariban
175,Wai Wai,1,-59,Cariban
176,Spanish,40,-4,Indo-European
177,Catalan,41.75,2,Indo-European
178,Portuguese,39,-8,Indo-European
179,Romanian,46,25,Indo-European
181,Irish,53,-8,Indo-European
182,Welsh,52,-3,Indo-European
183,Breton,48,-3,Indo-European
186,Danish,56,10,Indo-European
187,Swedish,60,15,Indo-European
190,English,52,0,Indo-European
194,German,52,10,Indo-European
195,Yiddish,52,23,Indo-European
196,Lithuanian,55,24,Indo-European
197,Latvian,57,24,Indo-European
200,Bulgarian,42.5,25,Indo-European
201,Serbo-Croatian,44,19,Indo-European
202,Czech,50,15,Indo-European
203,Polish,52,20,Indo-European
204,Russian,56,38,Indo-European
205,Albanian (Tosk variety),41,20,Indo-European
206,Armenian (Eastern variety),40,45,Indo-European
207,Armenian (Western variety),38.5,43.5,Indo-European
212,Romani,45,21,Indo-European
214,Persian,32,54,Indo-European
218,Jamaican Creole (Limonese Creole dialect),18.1666666667,-77.25,other
219,Basque,43,-3,Basque
220,Hausa,12,7,Afro-Asiatic
222,Nahuatl (Sierra de Zacapoaxtla variety),19.5833333333,-97.3333333333,Uto-Aztecan
223,Chatino (Zacatepec variety),16.0833333333,-97.1666666667,Oto-Manguean
224,Karok,41.6666666667,-123,Karok
225,Seri,29,-112,Hokan
226,Zuni,35.0833333333,-108.833333333,Zuni
227,Northern Haida,54,-132.5,Haida
228,Tlingit,59,-135,Na-Dene
229,Tsimshian,52.5,-129,Penutian
230,Nuu-chah-nulth,49.6666666667,-126.666666667,Wakashan
231,Bella Coola,52.5,-126.666666667,Salishan
232,Upper Chehalis,46.5833333333,-123,Salishan
235,Hawaiian,19.5833333333,-155.5,Austronesian
236,Maori,-40,176,Austronesian
237,Marquesan,-8.91666666667,-140.083333333,Austronesian
238,Rapa Nui,-27.1166666667,-109.366666667,Austronesian
239,Rotuman,-12.5,177.066666667,Austronesian
240,Tongan,-21.1666666667,-175.166666667,Austronesian
241,Tuamotuan,-17,-144,Austronesian
242,Barí,9,-73,Chibchan
243,Muisca,5,-74,Chibchan
244,Páez,2.66666666667,-76,Páezan
245,Cayapa,0.666666666667,-79,Barbacoan
246,Colorado,-1,-79.3333333333,Barbacoan
247,Embera,6.83333333333,-77.1666666667,Choco
248,Epena,3,-77,Choco
249,Puinave,4,-68,Puinave
251,Yaruro,7,-68,Yaruro
252,Ninam (Shirishana variety),3.5,-62.8333333333,Yanomam
253,Yanomámi,2.33333333333,-63,Yanomam
254,Cofán,0.166666666667,-77.1666666667,Cofán
255,Waorani,-1,-76.5,Waorani
256,Siona,0.333333333333,-76.25,Tucanoan
257,Tuyuca,0.5,-70.0833333333,Tucanoan
258,Aguaruna,-5,-78,Jivaroan
260,Yagua,-3.5,-72,Peba-Yaguan
261,Baure,-13.0833333333,-64.1666666667,Arawakan
262,Goajiro,12,-72,Arawakan
263,Ignaciano,-15.1666666667,-65.4166666667,Arawakan
264,Mashco Piro,-11,-73.5,Arawakan
266,Wapishana,2.66666666667,-60,Arawakan
267,Waurá,-13,-53,Arawakan
269,Aymara,-17,-69,Aymaran
270,Chipaya,-18.75,-67.8333333333,Uru-Chipaya
271,Mosetén,-14.75,-67.8333333333,Mosetenan
272,Araona,-12.3333333333,-67.75,Tacanan
273,Cavineña,-13.3333333333,-66.5,Tacanan
274,Ese Ejja,-11,-66,Tacanan
276,Tacana,-13.5,-68,Tacanan
277,Cashibo,-8.5,-75.5,Panoan
279,Chácobo,-12.1666666667,-66.75,Panoan
281,Shipibo-Conibo,-7.5,-75,Panoan
282,Yaminahua,-8,-73,Panoan
283,Cayuvava,-13.5,-65.5,Cayuvava
284,Itonama,-12.8333333333,-64.3333333333,Itonama
285,Movima,-13.8333333333,-65.6666666667,Movima
286,Pacaas Novos,-11.3333333333,-65,Chapacura-Wanham
287,Mundurukú,-7,-58,Tupian
288,Aché,-25.25,-55.1666666667,Tupian
289,Chiriguano,-23.6666666667,-64.3333333333,Tupian
290,Guaraní,-26,-56,Tupian
291,Sirionó,-15.5833333333,-64,Tupian
292,Wayampi,1,-52,Tupian
293,Canela,-7,-45,Macro-Ge
294,Kaingáng,-26,-52,Macro-Ge
295,Karajá,-10,-50.3333333333,Macro-Ge
296,Trumai,-11.9166666667,-53.5833333333,Trumai
297,Ayoreo,-20.25,-59.25,Zamucoan
300,Lengua,-22.5,-59,Mascoian
301,Mocoví,-28,-60.5,Guaicuruan
302,Pilagá,-25,-60,Guaicuruan
304,Chorote,-22.5,-62.5,Matacoan
305,Maca,-25,-57.5,Matacoan
306,Wichí,-22.5,-62.5833333333,Matacoan
307,Nivaclé,-23.5,-60.5,Matacoan
309,Mapudungun,-38,-72,Araucanian
310,Tehuelche,-48,-68,Chon
311,Selknam,-53,-70,Chon
312,Gününa Küne,-41,-67,Chon
313,Qawasqar,-49,-75,Alacalufan
314,Toba,-26.5,-59,Guaicuruan
315,Yagán,-55,-68,Yámana
318,Uncunwee,12,31,Eastern Sudanic
401,Central Thai,16,101,Tai-Kadai
407,Tai Lü,22,100.666666667,Tai-Kadai
