,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy,language_name
0,0.12838814775327387,0.5598994055784178,0.5740740740740741,0.40506329113924056,0.5925925925925926,0.5555555555555556,Persian
1,0.2564249311559858,0.6400462962962963,0.6104166666666666,0.4,0.3333333333333333,0.8875,Persian
2,0.08400960164602782,0.4935185185185185,0.5453703703703703,0.40404040404040403,0.7407407407407407,0.35,Persian
3,0.3597601997197596,0.6837962962962963,0.6476851851851853,0.4651162790697674,0.37037037037037035,0.925,Persian
4,0.3630223861703769,0.6736111111111112,0.6659722222222222,0.5,0.4444444444444444,0.8875,Persian
5,0.12292746636192413,0.5064814814814815,0.5504629629629629,0.423728813559322,0.9259259259259259,0.175,Persian
6,0.10398465527173581,0.5456018518518518,0.5592592592592592,0.3835616438356165,0.5185185185185185,0.6,Persian
7,0.20901083472001306,0.5986111111111111,0.6069444444444444,0.4571428571428572,0.8888888888888888,0.325,Persian
8,0.3108840968092798,0.7277777777777779,0.6652777777777779,0.5,0.5555555555555556,0.775,Persian
9,0.26122222427705755,0.5627314814814814,0.6043981481481482,0.38095238095238093,0.2962962962962963,0.9125,Persian
