,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy,language_name
0,0.35697147466389,0.675430844012373,0.6933274414494035,0.5777777777777777,0.8387096774193549,0.547945205479452,Tongan
1,0.23943367611610117,0.6173515981735159,0.6079908675799086,0.423076923076923,0.36666666666666664,0.8493150684931506,Tongan
2,0.2440802368853342,0.6365296803652968,0.6337899543378995,0.5116279069767441,0.7333333333333333,0.5342465753424658,Tongan
3,0.3247545852827675,0.682648401826484,0.6639269406392694,0.5245901639344263,0.5333333333333333,0.7945205479452054,Tongan
4,0.2638512236097618,0.6244292237442922,0.630593607305936,0.47457627118644075,0.4666666666666667,0.7945205479452054,Tongan
5,0.05623008870225276,0.49086757990867586,0.5308219178082192,0.38961038961038963,0.5,0.5616438356164384,Tongan
6,0.21340236413878147,0.5589041095890411,0.6006849315068493,0.5,0.9,0.3013698630136986,Tongan
7,0.24675441717341495,0.6273972602739726,0.6267123287671232,0.47619047619047616,0.5,0.7534246575342466,Tongan
8,0.1824692446153847,0.6041666666666667,0.5954301075268817,0.4948453608247424,0.7741935483870968,0.4166666666666667,Tongan
9,0.3238861390800621,0.703853046594982,0.6765232974910395,0.5609756097560976,0.7419354838709677,0.6111111111111112,Tongan
