často,ts a s t o
vždy,v z d i
vždycky,v z d i ts k i
stále,s t a l e
hotový,h o t o v i
přestati,p r̩ e s t a c i
dokončiti,d o k o n ts i c i
skončiti,s k o n ts i c i
ukončiti,u k o n ts i c i
konec,k o n e ts
trvati,t r̩ v a c i
začíti,z a ts i c i
počíti,p o ts i c i
začátek,z a ts a t e k
počátek,p o ts a t e k
prodlévati,p r o d l e v a c i
meškati,m e s k a c i
odkládati,o t k l a d a c i
chvátati,x v a t a c i
spěchati,s p e x a c i
kvapiti,k v a p i c i
zdlouhavý,z d l oʊ h a v i
rychlý,r i x l i
bezprostředně,b e s p r o s t r̩ e d n e
hned,h n e t
nyní,n i ɲ i
ted’,t e t
pozdě,p o z d e
časně,ts a s n e
ranně,r a n e
starý,s t a r i
mladý,m l a d i
věk,v e k
nový,n o v i
čas,ts a s
doba,d o b a
třikrát,t r̩ i k r a t
třetí,t r̩ e c i
dvakrát,d v a k r a t
pár,p a r̩
druhý,d r u h i
poslední,p o s l e d ɲ i
první,p r̩ v ɲ i
sám,s a m
jen,j e n
toliko,t o l i k o
pouze,p oʊ z e
jediný,j e ɟ i n i
poloviční,p o l o v i ts ɲ i
půl,p u l̩
díl,ɟ i  l̩
část,ts a s t
prázdný,p r a z d n i
plný,p l̩ n i
množství,m n o s s t v i
dav,d a v
zástup,z a s t u p
nějaký,n e j a k i
málo,m a l o
dost(i),d o s t   i
více,v i ts e
mnoho,m n o h o
moc,m o ts
každý,k a z d i
všechen,f s e x e n
všichni,f s i x ɲ i
počítati,p o ts i t a c i
tisíc,c i s i ts
sto,s t o
dvacet,d v a ts e t
patnáct,p a t n a ts t
dvanáct,d v a n a ts t
jedenáct,j e d e n a ts t
deset,d e s e t
devět,d e v e t
osm,o s m
sedm,s e d m
šest,s e s t
pět,p e t
čtyři,ts t i r i
dva,d v a
dvě,d v e
tři,t r̩ i
jeden,j e d e n
jedna,j e d n a
jedno,j e d n o
nula,n u l a
měniti,m e ɲ i c i
podobný,p o d o b n i
čára,ts a r a
přimka,p r̩ i m k a
díra,ɟ i r a
koule,k oʊ l e
okrouhlý,o k r oʊ h l i
kulatý,k u l a t i
kruh,k r u x
čtverec,ts t v e r e ts
čtverhran,ts t v e r h r a n
kříž,k r̩ i z
roh,r o x
kout,k oʊ t
úhel,u h e l
hák,h a k
křivý,k r̩ i v i
rovný,r o v n i
přímý,p r̩ i m i
plochý,p l o x i
ploský,p l o s k i
mělký,m e l̩ k i
hluboký,h l u b o k i
tenký,t e ŋ k i
tlustý,t l u s t i
úzký,u s k i
těsný,t e s n i
široký,s i r o k i
krátký,k r a t k i
vysoký,v i s o k i
dlouhý,d l oʊ h i
malý,m a l i
veliký,v e l i k i
píd’,p i t
sáh,s a x
měřiti,m e r̩ i c i
růsti,r u s c i
jih,j i x
sever,s e v e r
půlnoc,p u l̩ n o ts
západ,z a p a t
východ,v i x o t
blízko,b l i s k o
daleko,d a l e k o
levý,l e v i
pravý,p r a v i
střední,s t r̩ e d ɲ i
strana,s t r a n a
bok,b o k
ostří,o s t r̩ i
hrana,h r a n a
okraj,o k r a j
hrot,h r o t
špička,s p i ts k a
konec,k o n e ts
kraj,k r a j
dno,d n o
nízký,ɲ i s k i
vrch,v r̩ x
vysoký,v i s o k i
skrýti,s k r i c i
schovati,s x o v a c i
zavříti,z a v r̩ i c i
pokrýti,p o k r i c i
otevříti,o t e v r̩ i c i
rozděliti,r o z d e l i c i
odděliti,o d d e l i c i
odloučiti,o d l oʊ ts i c i
spojiti,s p o j i c i
sloučiti,s l oʊ ts i c i
nahromaditi,n a h r o m a ɟ i c i
zdvihati,z d v i h a c i
sbírati,z b i r a c i
shromážditi,s h r o m a z ɟ i c i
zůstati,z u s t a c i
zůstati,z u s t a c i
čekati,ts e k a c i
státi,s t a c i
ležeti,l e z e c i
seděti,s e d e c i
postaviti,p o s t a v i c i
položiti,p o l o z i c i
klásti,k l a s c i
místo,m i s t o
nahoře,n a h o r e
pod,p o t
mimo,m i m o
uvnitř,u v ɲ i t r̩
v,v e
před,p r̩ e t
před,p r̩ e t
dolů,d o l u
vedle,v e d l e
za,z a
po,p o
vážiti,v a z i c i
rozděliti,r o z d e l i c i
děliti se,d e l i c i s e
